ID,Name,Sex,Age,Height,Weight,Country,NOC,Games,Year,Season,City,Sport,Event,Medal,lat,lng
74491,Shelley Isabel Mann,F,19.0,172.0,61.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver,28.1086,-80.6627
66146,"George Howard Lambert, Jr.",M,28.0,188.0,81.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Modern Pentathlon,Modern Pentathlon Men's Team,Silver,28.1086,-80.6627
62503,"Tamio ""Tommy"" Kono",M,26.0,167.0,74.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Weightlifting,Weightlifting Men's Light-Heavyweight,Gold,28.1086,-80.6627
62494,Ford Hiroshi Konno,M,23.0,167.0,68.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver,28.1086,-80.6627
61753,"Desmond Dalworth ""Des"" Koch",M,24.0,183.0,95.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's Discus Throw,Bronze,28.1086,-80.6627
61441,"Kathryn Elizabeth ""Kay"" Knapp (-Norton)",F,18.0,170.0,57.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver,28.1086,-80.6627
60492,Leamon King,M,20.0,180.0,64.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's 4 x 100 metres Relay,Gold,28.1086,-80.6627
58596,"John Brenden ""Jack"" Kelly, Jr.",M,29.0,185.0,83.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Rowing,Rowing Men's Single Sculls,Bronze,28.1086,-80.6627
55696,"Louis Woodard ""Lou"" Jones, III",M,24.0,183.0,76.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's 4 x 400 metres Relay,Gold,28.1086,-80.6627
55686,K. C. Jones,M,24.0,185.0,91.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Basketball,Basketball Men's Basketball,Gold,28.1086,-80.6627
